"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL3968136";"";"";"Small molecule";"";"433.48";"2";"2";"1.56";"128.58";"9";"4";"0";"7";"N";"0.33";"7.24";"4.22";"1.28";"0.90";"3";"MOL";"-1";"32";"11";"4";"1";"433.1975";"-1.17";"NEUTRAL";"C21H23N9O2";"CN(C)c1ccccc1CNc1nc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1";"NZZJCKSQVSIHFI-DHDCSXOGSA-N"
"CHEMBL3912472";"";"";"Small molecule";"";"367.41";"2";"2";"1.69";"112.45";"7";"4";"0";"6";"N";"0.46";"7.24";"3.97";"0.65";"0.27";"2";"MOL";"-1";"27";"9";"4";"0";"367.1757";"-0.95";"NEUTRAL";"C18H21N7O2";"C[C@H](Nc1cc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1)C1CC1";"ISOROGJOHADWEE-FVNYMESBSA-N"
"CHEMBL370216";"";"";"Small molecule";"";"425.92";"1";"1";"3.84";"78.97";"3";"3";"0";"2";"N";"0.49";"11.23";"6.50";"3.81";"3.76";"3";"MOL";"-1";"22";"4";"4";"0";"329.0390";"-1.37";"NEUTRAL";"C17H16ClN3O4S2";"CS(=O)(=O)O.N=C(N)NC(=O)c1cc2c(-c3ccccc3Cl)cccc2s1";"XOLXYAIORAYIKO-UHFFFAOYSA-N"
"CHEMBL275292";"";"";"Small molecule";"";"521.60";"4";"4";"2.74";"119.84";"8";"4";"0";"9";"N";"0.31";"8.79";"6.51";"3.10";"3.03";"3";"MOL";"-1";"31";"9";"4";"0";"425.2063";"-0.81";"NEUTRAL";"C23H31N5O7S";"CCN(CC)c1nc(NCCNC(=O)c2cc(O)c(O)c(OC)c2)c2ccccc2n1.CS(=O)(=O)O";"WMAGXTLQBSVISP-UHFFFAOYSA-N"
"CHEMBL3932776";"";"";"Small molecule";"";"313.33";"1";"2";"2.19";"66.06";"3";"1";"0";"2";"N";"0.86";"10.87";"None";"1.76";"1.76";"2";"MOL";"-1";"23";"5";"1";"0";"313.1227";"-1.76";"NEUTRAL";"C17H16FN3O2";"O=C1CCN1c1cc(-c2n[nH]c(=O)c3c2CCCC3)ccc1F";"YZVYTBRTGNVMFI-UHFFFAOYSA-N"
"CHEMBL3642827";"";"";"Small molecule";"";"467.87";"1";"2";"4.55";"101.38";"7";"2";"0";"5";"N";"0.39";"10.19";"2.85";"4.07";"4.06";"5";"MOL";"-1";"33";"8";"2";"0";"467.1073";"-1.32";"NEUTRAL";"C22H16ClF2N7O";"CC[C@H](Nc1ncnc2nc[nH]c12)c1nc2cccc(Cl)c2c(=O)n1-c1cc(F)cc(F)c1";"TWLUHIZKDUPYPV-HNNXBMFYSA-N"
"CHEMBL3694793";"";"";"Small molecule";"";"409.24";"2";"2";"4.19";"77.00";"6";"1";"0";"4";"N";"0.70";"10.16";"1.01";"3.19";"3.19";"3";"MOL";"-1";"24";"6";"1";"0";"407.9692";"-1.89";"NEUTRAL";"C15H10BrFN4O2S";"Cc1nc(NC(=O)c2cc(F)cc(Oc3cncnc3)c2)sc1Br";"YRZJRVLGAJFCTI-UHFFFAOYSA-N"
"CHEMBL3654614";"";"";"Small molecule";"";"459.53";"1";"1";"4.17";"83.14";"5";"2";"0";"6";"N";"0.45";"13.20";"6.55";"3.38";"3.32";"4";"MOL";"-1";"34";"7";"2";"0";"459.2071";"-1.63";"NEUTRAL";"C26H26FN5O2";"COc1cccc(F)c1CN1CCC[C@@H](NC(=O)c2ccc3[nH]nc(-c4ccncc4)c3c2)C1";"UUHCHFCWGLFYIQ-LJQANCHMSA-N"
"CHEMBL3694790";"";"";"Small molecule";"";"357.78";"2";"2";"3.68";"71.01";"5";"1";"0";"4";"N";"0.72";"None";"1.83";"3.32";"3.32";"3";"MOL";"-1";"25";"6";"1";"0";"357.0793";"-1.96";"NEUTRAL";"C17H13ClFN5O";"CN(c1cncnc1)c1cc(Cl)cc(C(=O)Nc2cccc(F)n2)c1";"QXWXGTVYUFKGDE-UHFFFAOYSA-N"
"CHEMBL3937823";"";"";"Small molecule";"";"490.53";"2";"2";"1.02";"178.23";"10";"5";"0";"7";"N";"0.28";"7.24";"2.27";"0.15";"-0.22";"2";"MOL";"-1";"36";"13";"5";"1";"490.2189";"-0.95";"NEUTRAL";"C23H26N10O3";"N#CC1(C(=O)N[C@H]2CC[C@H](Nc3nc(NC4CC4)n4ncc(/C=C5\NC(=O)NC5=O)c4n3)CC2)CC1";"JERODNYRQVNCSF-YCKYOMLYSA-N"
