"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"Polar Surface Area";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX Acidic pKa";"CX Basic pKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA (Lipinski)";"HBD (Lipinski)";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Np Likeness Score";"Molecular Species";"Molecular Formula";"Smiles";"Inchi Key"
"CHEMBL2093094";"Al complex";"";"Small molecule";"";"766.28";"3";"6";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"None";"None";"764.9910";"None";"None";"C18H26CuN10O12S4";"";""
"CHEMBL3658435";"";"";"Small molecule";"";"586.67";"1";"1";"4.40";"112.68";"7";"2";"1";"7";"N";"0.33";"13.21";"5.36";"3.40";"3.39";"4";"MOL";"-1";"43";"10";"2";"1";"586.2704";"-1.39";"NEUTRAL";"C32H35FN6O4";"COc1cccc(F)c1CN1C[C@H](NC(=O)c2ccc3[nH]nc(-c4ccnc(C)c4)c3c2)CC[C@H]1C(=O)N1CCCCO1";"MVBFWAZGGLSBGZ-LXFBAYGMSA-N"
"CHEMBL406299";"Fe complex";"";"Small molecule";"";"828.70";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"None";"None";"828.2554";"None";"None";"C43H44FeN6O8+3";"";""
"CHEMBL413616";"";"";"Small molecule";"";"1381.77";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"1380.7562";"None";"None";"C84H100N8O10";"CCC1=C(CC)c2cc3[nH]c(cc4[nH]c(cc5nc(cc1n2)C(=O)C5(CC)CC)c(CC)c4CC)C1(CC)C3=CCC(C(=O)OC)=C1C(=O)OC.CCC1=C(CC)c2cc3[nH]c(cc4[nH]c(cc5nc(cc1n2)C1=CCC(C(=O)OC)=C(C(=O)OC)C15CC)c(CC)c4CC)C(=O)C3(CC)CC";"XSYMDGAKNBOWFP-LOZLICGCSA-N"
"CHEMBL3946243";"";"";"Small molecule";"";"478.45";"1";"1";"4.47";"94.59";"6";"1";"0";"7";"N";"0.50";"13.63";"4.84";"4.58";"4.58";"3";"MOL";"-1";"33";"7";"1";"0";"478.0810";"-1.43";"NEUTRAL";"C22H17F3N2O5S";"COc1ccc(OC(F)(F)F)cc1S(=O)(=O)c1ccc(NC(=O)/C=C/c2cccnc2)cc1";"ZXFPXCPRQLYXGK-NYYWCZLTSA-N"
"CHEMBL1795060";"";"";"Small molecule";"";"710.09";"3";"3";"-5.10";"295.90";"16";"4";"2";"13";"N";"0.16";"3.13";"5.32";"-3.26";"-10.06";"2";"MOL";"-1";"40";"20";"6";"3";"644.0560";"-0.87";"ACID";"C16H24N10O10S4Zn";"Cn1nc(S(N)(=O)=O)s/c1=N/C(=O)CN(CCN(CC(=O)O)CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C)CC(=O)O.[Zn]";"MTUXCJUNLKRHCD-WKLZLTIDSA-N"
"CHEMBL3654592";"";"";"Small molecule";"";"544.66";"1";"2";"4.70";"103.01";"5";"3";"1";"8";"N";"0.26";"13.20";"6.56";"4.23";"4.17";"5";"MOL";"-1";"41";"8";"3";"1";"544.2587";"-1.33";"NEUTRAL";"C33H32N6O2";"O=C(N[C@@H]1CC[C@@H](C(=O)NCc2ccccc2)N(Cc2ccccc2)C1)c1ccc2[nH]nc(-c3ccncc3)c2c1";"RRMIDCKHZVDROT-OFSOJUDTSA-N"
"CHEMBL318307";"Fe complex";"";"Small molecule";"";"715.55";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"None";"None";"715.1825";"None";"None";"C36H33FeN7O6+3";"";""
"CHEMBL4115743";"";"";"Unknown";"";"";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"-1";"";"";"";"";"";"";"";"";"";""
"CHEMBL434841";"";"";"Small molecule";"";"552.67";"3";"3";"4.85";"43.70";"5";"0";"0";"5";"N";"0.50";"None";"7.91";"4.30";"3.68";"2";"MOL";"-1";"32";"5";"0";"0";"436.2726";"0.31";"NEUTRAL";"C31H40N2O7";"CO[C@H]1CC[C@H](C(=O)OCC2=C[C@@H]3c4cccc5c4c(cn5C(C)C)C[C@H]3N(C)C2)CC1.O=C(O)/C=C\C(=O)O";"WTLVFGCSJBJUQJ-OHRLZUCGSA-N"
"CHEMBL347083";"";"";"Small molecule";"";"368.82";"5";"5";"2.18";"36.36";"3";"1";"0";"1";"Y";"0.78";"13.75";"8.81";"1.29";"-0.14";"1";"MOL";"-1";"17";"3";"1";"0";"252.1029";"-0.11";"BASE";"C17H21ClN2O5";"CN1C2CCC1CC(O)(c1ccc(Cl)nc1)C2.O=C(O)/C=C\C(=O)O";"NPEMWMALPZDNGY-BTJKTKAUSA-N"
"CHEMBL3676987";"";"";"Small molecule";"";"252.29";"2";"2";"1.41";"45.48";"3";"1";"0";"1";"Y";"0.82";"None";"10.26";"0.31";"-2.40";"1";"MOL";"-1";"18";"4";"1";"0";"252.1274";"-0.81";"BASE";"C13H17FN2O2";"Cc1cc(F)c(C(=O)N2CC3CNCC(C3)C2)o1";"HQBZVCMGBISGLU-UHFFFAOYSA-N"
"CHEMBL3947824";"";"";"Small molecule";"";"492.61";"2";"2";"2.35";"106.90";"9";"3";"0";"7";"N";"0.34";"7.24";"9.15";"-0.61";"-0.75";"3";"MOL";"-1";"35";"10";"3";"0";"492.2056";"-1.65";"BASE";"C24H28N8O2S";"CN(C)C1CCN(Cc2cc(-c3cc(NC4CC4)n4ncc(/C=C5\NC(=O)NC5=O)c4n3)cs2)C1";"KYFVFBPUOVBQRB-ZBKNUEDVSA-N"
"CHEMBL3979163";"";"";"Small molecule";"";"440.41";"2";"2";"2.33";"125.34";"8";"4";"0";"6";"N";"0.34";"7.24";"2.28";"1.87";"1.49";"3";"MOL";"-1";"32";"10";"4";"0";"440.1521";"-1.44";"NEUTRAL";"C20H18F2N8O2";"CC(Nc1nc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1)c1ccc(F)c(F)c1";"NGIWXHCDWOYZCL-CHHVJCJISA-N"
"CHEMBL3125194";"";"";"Small molecule";"";"577.59";"2";"2";"6.96";"105.93";"6";"2";"2";"7";"N";"0.21";"11.93";"5.77";"5.68";"5.67";"6";"MOL";"-1";"43";"8";"2";"2";"577.1925";"-0.64";"NEUTRAL";"C33H25F2N5O3";"COc1cc(C)c(-c2ccc3oc(-c4ccc(F)cc4)c(-c4ncc[nH]4)c3c2F)cc1C(=O)NC1(c2ncccn2)CC1";"UZFGKZXYIPITCX-UHFFFAOYSA-N"
"CHEMBL3985209";"";"";"Small molecule";"";"221.28";"1";"1";"2.71";"53.35";"4";"2";"0";"2";"N";"0.82";"9.22";"3.05";"2.53";"2.52";"2";"MOL";"-1";"15";"3";"2";"0";"221.0510";"-0.02";"NEUTRAL";"C11H11NO2S";"CC(c1nccs1)c1ccc(O)cc1O";"SXJUUBNAKFAGIA-UHFFFAOYSA-N"
"CHEMBL3968403";"";"";"Small molecule";"";"392.38";"2";"2";"0.28";"151.12";"10";"4";"0";"6";"N";"0.34";"7.24";"2.24";"-1.18";"-1.56";"3";"MOL";"-1";"29";"12";"4";"1";"392.1458";"-1.36";"NEUTRAL";"C17H16N10O2";"O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(NCc4cnccn4)nc23)N1";"CFHUUJKXRXOBTI-XGICHPGQSA-N"
"CHEMBL3942081";"";"";"Small molecule";"";"492.85";"2";"2";"3.16";"125.34";"8";"4";"0";"6";"N";"0.31";"7.24";"2.31";"2.65";"2.27";"3";"MOL";"-1";"34";"10";"4";"0";"492.1037";"-1.49";"NEUTRAL";"C20H16ClF3N8O2";"O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(NCc4cc(C(F)(F)F)ccc4Cl)nc23)N1";"YSIRJMUKYVJFOS-NSIKDUERSA-N"
"CHEMBL3980859";"";"";"Small molecule";"";"367.37";"2";"2";"0.83";"129.52";"7";"4";"0";"5";"N";"0.46";"7.24";"1.27";"0.00";"-0.38";"2";"MOL";"-1";"27";"10";"4";"0";"367.1393";"-1.41";"NEUTRAL";"C17H17N7O3";"O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(NC(=O)C4CC4)nc23)N1";"UBYVOQDIVWWYHS-WZUFQYTHSA-N"
"CHEMBL3933087";"";"";"Small molecule";"";"503.55";"2";"2";"1.88";"147.34";"10";"4";"1";"7";"N";"0.22";"7.26";"5.81";"0.09";"-0.09";"4";"MOL";"-1";"36";"12";"4";"2";"503.1488";"-1.81";"NEUTRAL";"C23H21N9O3S";"Cn1ccnc1CNC(=O)c1ccc(-c2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)s1";"RXDQFSLUVWCXJL-NVNXTCNLSA-N"
"CHEMBL4106876";"";"";"Small molecule";"";"432.44";"2";"2";"0.95";"145.57";"9";"5";"0";"5";"N";"0.30";"7.24";"2.25";"0.64";"0.26";"3";"MOL";"-1";"32";"11";"5";"1";"432.1658";"-0.61";"NEUTRAL";"C21H20N8O3";"O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(N[C@H]4c5ccccc5C[C@H]4O)nc23)N1";"IFVKGXXFFHIRNY-QAIKFOBFSA-N"
"CHEMBL3964024";"";"";"Small molecule";"";"438.88";"2";"2";"2.71";"125.34";"8";"4";"0";"6";"N";"0.34";"7.24";"2.28";"2.19";"1.81";"3";"MOL";"-1";"31";"10";"4";"0";"438.1319";"-1.33";"NEUTRAL";"C20H19ClN8O2";"C[C@H](Nc1nc(NC2CC2)n2ncc(/C=C3\NC(=O)NC3=O)c2n1)c1cccc(Cl)c1";"ROWOHQPHJFJFOF-SOOGHKCXSA-N"
"CHEMBL3912393";"";"";"Small molecule";"";"441.54";"3";"3";"3.87";"85.41";"6";"2";"0";"6";"N";"0.44";"None";"6.85";"3.49";"3.38";"4";"MOL";"-1";"33";"7";"3";"0";"441.2165";"-1.45";"NEUTRAL";"C26H27N5O2";"Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccc2nn(CCN3CCOCC3)cc2c1";"SNIFKKNDWDZVIA-UHFFFAOYSA-N"
"CHEMBL3936530";"";"";"Small molecule";"";"520.62";"2";"2";"2.38";"123.97";"9";"3";"1";"6";"N";"0.34";"7.37";"6.64";"0.86";"0.78";"3";"MOL";"-1";"37";"11";"3";"2";"520.2005";"-1.58";"NEUTRAL";"C25H28N8O3S";"CC(C)N1CCN(C(=O)c2ccc(-c3cc(NC4CC4)n4ncc(/C=C5\NC(=O)NC5=O)c4n3)s2)CC1";"OMMIEGNWYXIZPX-WQRHYEAKSA-N"
"CHEMBL3933278";"";"";"Small molecule";"";"422.41";"2";"3";"0.86";"144.66";"10";"3";"0";"7";"N";"0.37";"7.25";"5.18";"0.25";"-0.14";"3";"MOL";"-1";"31";"12";"3";"1";"422.1451";"-1.00";"NEUTRAL";"C19H18N8O4";"COc1ccnc(COc2nc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)c1";"FCFZPSYAFYOHPF-NSIKDUERSA-N"
"CHEMBL197519";"";"";"Small molecule";"";"383.37";"2";"5";"2.54";"78.97";"3";"3";"0";"1";"N";"0.56";"11.21";"7.47";"2.44";"2.10";"2";"MOL";"-1";"19";"4";"4";"0";"287.0340";"-1.56";"NEUTRAL";"C12H12F3N3O4S2";"CS(=O)(=O)O.N=C(N)NC(=O)c1cc2c(C(F)(F)F)cccc2s1";"MTOWXMFPENDPMK-UHFFFAOYSA-N"
"CHEMBL3700423";"";"";"Small molecule";"";"389.42";"1";"1";"3.68";"109.26";"7";"3";"0";"7";"N";"0.32";"3.70";"2.85";"3.03";"0.04";"4";"MOL";"-1";"29";"8";"3";"0";"389.1488";"-1.15";"ACID";"C21H19N5O3";"COCCNc1ncc2c(n1)c(Nc1ccccc1)nc1cc(C(=O)O)ccc12";"BIWVYLZTDPJSTO-UHFFFAOYSA-N"
"CHEMBL3700460";"";"";"Small molecule";"";"401.43";"1";"1";"4.20";"109.26";"7";"3";"0";"6";"N";"0.41";"3.70";"2.84";"3.39";"0.40";"4";"MOL";"-1";"30";"8";"3";"0";"401.1488";"-1.12";"ACID";"C22H19N5O3";"COc1cccc(Nc2nc3cc(C(=O)O)ccc3c3cnc(NC4CC4)nc23)c1";"SQLDRRNNJHIBLL-UHFFFAOYSA-N"
"CHEMBL3919649";"";"";"Small molecule";"";"458.48";"2";"4";"1.53";"134.04";"9";"4";"0";"7";"N";"0.31";"7.24";"9.26";"-0.94";"-1.07";"3";"MOL";"-1";"34";"11";"4";"1";"458.1815";"-1.09";"BASE";"C23H22N8O3";"O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(-c4cccc(OCC5=NCCN5)c4)nc23)N1";"HRDNKNMDOIXOCX-NVMNQCDNSA-N"
"CHEMBL3984790";"";"";"Small molecule";"";"427.47";"2";"2";"0.01";"137.81";"10";"4";"0";"8";"N";"0.26";"7.24";"6.71";"-1.13";"-1.18";"2";"MOL";"-1";"31";"12";"4";"1";"427.2080";"-1.46";"NEUTRAL";"C19H25N9O3";"O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)nc(NCCCN4CCOCC4)nc23)N1";"SNLSPSNOPDQAMY-UVTDQMKNSA-N"
"CHEMBL2106673";"TOFENACIN HYDROCHLORIDE";"NSC-113809|NSC-169432|ORPHENADRINE RELATED COMPOUND C|TOFENACIN HCL|TOFENACIN HYDROCHLORIDE";"Small molecule";"-1.0";"291.82";"";"";"3.32";"21.26";"2";"1";"0";"6";"N";"0.80";"None";"9.68";"3.78";"1.54";"2";"MOL";"0";"19";"2";"1";"0";"255.1623";"-0.34";"BASE";"C17H22ClNO";"CNCCOC(c1ccccc1)c1ccccc1C.Cl";"YAXWIYFUVISXRS-UHFFFAOYSA-N"
"CHEMBL3925916";"";"";"Small molecule";"";"559.63";"1";"1";"3.28";"145.23";"10";"4";"1";"6";"N";"0.26";"7.24";"4.43";"2.27";"1.89";"3";"MOL";"-1";"41";"13";"4";"2";"559.2656";"-1.34";"NEUTRAL";"C28H33N9O4";"CC(C)(C)OC(=O)N1CCN(c2ccc(Nc3cc(NC4CC4)n4ncc(/C=C5\NC(=O)NC5=O)c4n3)cc2)CC1";"QJOPXXWJXPZOEF-STZFKDTASA-N"
"CHEMBL3654531";"";"";"Small molecule";"";"446.58";"2";"2";"4.09";"86.80";"6";"2";"0";"5";"N";"0.48";"13.21";"7.17";"2.45";"2.25";"4";"MOL";"-1";"32";"7";"2";"0";"446.1889";"-1.87";"NEUTRAL";"C24H26N6OS";"Cc1cc(-c2n[nH]c3ccc(C(=O)N[C@@H]4CCCN(Cc5scnc5C)C4)cc23)ccn1";"FOOHMVMINYATPD-LJQANCHMSA-N"
"CHEMBL3980819";"";"";"Small molecule";"";"567.78";"1";"1";"4.09";"61.69";"8";"1";"1";"10";"N";"0.31";"None";"9.28";"3.19";"0.39";"4";"MOL";"-1";"42";"8";"1";"1";"567.3686";"-0.90";"BASE";"C34H45N7O";"c1cnc2c(c1)CCC[C@@H]2N(CCCN1CCNCC1)Cc1nccc2c3ccccc3n(CCN3CCOCC3)c12";"GXPPYEGXOSWLLT-YTTGMZPUSA-N"
"CHEMBL3918964";"";"";"Small molecule";"";"465.54";"2";"4";"2.04";"112.89";"9";"3";"0";"6";"N";"0.38";"7.32";"6.46";"0.73";"0.62";"3";"MOL";"-1";"33";"10";"3";"0";"465.1583";"-1.74";"NEUTRAL";"C22H23N7O3S";"O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(-c4ccc(CN5CCOCC5)s4)nc23)N1";"OYOCDZLFPKERPX-MFOYZWKCSA-N"
"CHEMBL3658425";"";"";"Small molecule";"";"585.68";"1";"1";"3.28";"115.48";"7";"3";"1";"7";"N";"0.31";"13.21";"7.82";"2.31";"1.74";"4";"MOL";"-1";"43";"10";"3";"1";"585.2864";"-1.44";"NEUTRAL";"C32H36FN7O3";"COc1cccc(F)c1CN1C[C@H](NC(=O)c2ccc3[nH]nc(-c4ccnc(C)c4)c3c2)CC[C@H]1C(=O)N1CCNCC1";"STXWDYNBQAITLF-LXFBAYGMSA-N"
"CHEMBL3890988";"";"";"Small molecule";"";"547.50";"2";"2";"1.73";"147.04";"11";"4";"2";"9";"N";"0.23";"7.24";"6.57";"1.18";"1.09";"3";"MOL";"-1";"39";"13";"4";"2";"547.1903";"-1.69";"NEUTRAL";"C23H24F3N9O4";"O=C1NC(=O)/C(=C/c2cnn3c(NCC(F)(F)F)nc(Nc4cccc(OCCN5CCOCC5)c4)nc23)N1";"FWOSSSXDDIHFQA-YVLHZVERSA-N"
"CHEMBL3926338";"";"";"Small molecule";"";"596.69";"2";"2";"4.06";"168.29";"10";"4";"1";"6";"N";"0.28";"7.24";"0.95";"2.55";"2.17";"2";"MOL";"-1";"43";"14";"4";"2";"596.3071";"-1.04";"NEUTRAL";"C29H40N8O6";"CC(C)(C)OC(=O)NC1CCC(Nc2cc(N(C(=O)OC(C)(C)C)C3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)CC1";"PXTAVDKANMIAFJ-MOSHPQCFSA-N"
"CHEMBL3931768";"";"";"Small molecule";"";"318.83";"1";"2";"3.61";"35.64";"5";"0";"0";"5";"N";"0.67";"None";"5.87";"3.31";"3.30";"3";"MOL";"-1";"21";"4";"0";"0";"318.0706";"-2.26";"NEUTRAL";"C15H15ClN4S";"Cn1ccnc1SCc1nccn1Cc1ccc(Cl)cc1";"TVOUKZRXMHAVLD-UHFFFAOYSA-N"
"CHEMBL3973586";"";"";"Small molecule";"";"435.51";"1";"1";"3.32";"105.23";"5";"2";"0";"7";"N";"0.55";"13.50";"4.84";"2.74";"2.74";"3";"MOL";"-1";"31";"7";"2";"0";"435.1253";"-1.64";"NEUTRAL";"C23H21N3O4S";"CCNC(=O)c1cccc(S(=O)(=O)c2ccc(NC(=O)/C=C/c3cccnc3)cc2)c1";"OSYMQEGRXNSZOH-MDWZMJQESA-N"
"CHEMBL3902493";"";"";"Small molecule";"";"539.73";"1";"2";"3.98";"83.52";"7";"1";"1";"9";"N";"0.32";"None";"10.21";"2.59";"-1.25";"4";"MOL";"-1";"40";"8";"2";"1";"539.3373";"-0.82";"BASE";"C32H41N7O";"CN1CCN(C(=O)Cn2c3ccccc3c3ccnc(CN(CCCCN)[C@H]4CCCc5cccnc54)c32)CC1";"JQTHZRINXVEAFM-LJAQVGFWSA-N"
"CHEMBL3952403";"";"";"Small molecule";"";"396.46";"1";"1";"0.63";"106.90";"8";"3";"0";"4";"N";"0.51";"7.22";"8.64";"-1.48";"-1.59";"2";"MOL";"-1";"29";"10";"3";"0";"396.2022";"-1.43";"BASE";"C19H24N8O2";"CN1CCCN(c2cc(NC3CC3)n3ncc(/C=C4\NC(=O)NC4=O)c3n2)CC1";"NUXLYAVZLRYYEX-ZROIWOOFSA-N"
"CHEMBL3951499";"";"";"Small molecule";"";"476.48";"1";"1";"5.38";"82.63";"3";"2";"1";"6";"N";"0.39";"3.43";"None";"4.97";"1.57";"4";"MOL";"-1";"35";"6";"2";"1";"476.1548";"-0.84";"ACID";"C27H22F2N2O4";"O=C(O)[C@@H]1CCCN1C(=O)c1cccc(COc2ccc(-c3cc(F)c(F)c4[nH]ccc34)cc2)c1";"XCXQHPOQSAMEIW-QHCPKHFHSA-N"
"CHEMBL3700415";"";"";"Small molecule";"";"345.36";"1";"2";"3.66";"100.03";"6";"3";"0";"4";"N";"0.49";"3.71";"2.90";"3.05";"0.09";"4";"MOL";"-1";"26";"7";"3";"0";"345.1226";"-0.91";"ACID";"C19H15N5O2";"CNc1ncc2c(n1)c(Nc1ccccc1)nc1cc(C(=O)O)ccc12";"KWIKUKWCLKBUMA-UHFFFAOYSA-N"
"CHEMBL33900";"";"";"Small molecule";"";"718.79";"1";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"696.2247";"None";"None";"C29H39N6NaO10S2";"CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O.CCOC(=O)c1cn(C[C@@]2(C)[C@H](C(=O)[O-])C3C(=O)CC3S2(=O)=O)nn1.[Na+]";"YMUZGOHVSPAIHK-GIKYSIBBSA-M"
"CHEMBL294645";"4N-(4-diethylamino-1-methylbutyl)-7-chloro-4-quinolinamine 1-N-[Au(PPh3)] compound with PF6-";"";"Small molecule";"";"780.15";"2";"3";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"None";"None";"779.2460";"None";"None";"C36H42AuClN3P+2";"";""
"CHEMBL3896587";"";"";"Small molecule";"";"368.51";"1";"2";"5.90";"36.68";"3";"0";"1";"5";"N";"0.53";"None";"1.39";"6.68";"6.68";"3";"MOL";"-1";"27";"2";"0";"1";"368.1347";"-0.99";"NEUTRAL";"C24H20N2S";"N#Cc1c(SCc2ccccc2)nc2c(c1/C=C\c1ccccc1)CCC2";"NIFCFECVMACLAR-PFONDFGASA-N"
"CHEMBL3143625";"";"";"Small molecule";"";"959.04";"1";"1";"5.98";"52.90";"2";"1";"1";"12";"N";"0.26";"4.44";"10.68";"4.03";"4.03";"2";"MOL";"-1";"31";"4";"1";"1";"420.2777";"0.12";"ZWITTERION";"C54H73ClN4O5Zn";"Cl.O.O=C([O-])CCCCCCC/N=C/N1CCC(C(c2ccccc2)c2ccccc2)CC1.O=C([O-])CCCCCCC/N=C/N1CCC(C(c2ccccc2)c2ccccc2)CC1.[Zn+2]";"RKMVEJCAYRGPSQ-AVVDOIPCSA-L"
"CHEMBL295441";"Rhenium complex";"";"Small molecule";"";"627.29";"2";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"None";"None";"627.1149";"None";"None";"C21H31ClN3OReS2+";"";""
"CHEMBL3926841";"";"";"Small molecule";"";"417.42";"1";"1";"2.47";"112.45";"7";"4";"0";"5";"N";"0.44";"7.24";"3.97";"0.74";"0.36";"2";"MOL";"-1";"30";"9";"4";"0";"417.1725";"-0.84";"NEUTRAL";"C19H21F2N7O2";"O=C1NC(=O)/C(=C/c2cnn3c(NC4CC4)cc(NC4CCC(F)(F)CC4)nc23)N1";"POFRUQZCHGAJQU-QPEQYQDCSA-N"
"CHEMBL35325";"";"";"Small molecule";"";"744.93";"1";"2";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"-1";"None";"None";"None";"None";"668.1934";"None";"None";"C27H34K2N6O10S2";"CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O.C[C@]1(Cn2nncc2C(=O)[O-])[C@H](C(=O)[O-])C2C(=O)CC2S1(=O)=O.[K+].[K+]";"XDZIEJFVFXXJNP-VEGYFROUSA-L"
"CHEMBL3944885";"";"";"Small molecule";"";"433.32";"1";"1";"4.87";"76.13";"4";"1";"0";"5";"N";"0.58";"13.64";"4.84";"4.52";"4.51";"3";"MOL";"-1";"28";"5";"1";"0";"432.0102";"-1.46";"NEUTRAL";"C20H14Cl2N2O3S";"O=C(/C=C/c1cccnc1)Nc1ccc(S(=O)(=O)c2cc(Cl)cc(Cl)c2)cc1";"JMZGFBFOGNMWGS-FPYGCLRLSA-N"
"CHEMBL3922129";"";"";"Small molecule";"";"303.36";"3";"3";"3.99";"49.33";"2";"2";"0";"4";"N";"0.43";"9.20";"None";"4.33";"4.33";"3";"MOL";"-1";"23";"3";"2";"0";"303.1259";"-0.40";"NEUTRAL";"C20H17NO2";"O=C(NO)c1ccc(C(c2ccccc2)c2ccccc2)cc1";"VWTWHLMXOAVDTP-UHFFFAOYSA-N"
"CHEMBL5078793";"";"";"Unknown";"";"344.50";"1";"2";"5.23";"41.99";"4";"1";"1";"4";"N";"0.70";"7.98";"None";"5.64";"5.54";"3";"MOL";"-1";"23";"3";"1";"1";"344.1017";"-1.93";"NEUTRAL";"C18H20N2OS2";"CC(C)(C)c1csc(NC(=O)CCc2csc3ccccc23)n1";"MKZKUDUGLVQEBH-UHFFFAOYSA-N"
"CHEMBL268510";"Fe complex";"";"Small molecule";"";"952.72";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"None";"None";"952.0311";"None";"None";"C36H30FeN7O15S3";"";""
"CHEMBL320889";"Fe complex";"";"Small molecule";"";"993.81";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"NONE";"-1";"None";"None";"None";"None";"993.0828";"None";"None";"C40H37FeN6O15S3";"";""
"CHEMBL1794909";"";"";"Small molecule";"";"614.85";"2";"3";"6.62";"35.83";"2";"1";"1";"11";"N";"0.26";"9.99";"10.78";"6.10";"4.41";"2";"MOL";"-1";"30";"3";"1";"1";"406.2984";"0.18";"BASE";"C37H46N2O4S";"CCCCCCCC/N=C/N1CCC(C(c2ccccc2)c2ccc(O)cc2)CC1.O=S(=O)(O)c1ccc2ccccc2c1";"AKWHYGRMHWTPJR-GVWDPOEBSA-N"
"CHEMBL5071116";"";"";"Unknown";"";"401.44";"1";"1";"3.43";"75.43";"3";"2";"0";"6";"N";"0.49";"13.69";"3.88";"3.35";"3.35";"3";"MOL";"-1";"30";"5";"3";"0";"401.1540";"-1.49";"NEUTRAL";"C24H20FN3O2";"C#CC(=O)N(c1cccc(F)c1)C(C(=O)NCc1ccccc1)c1cccc(N)c1";"HCVZFFXTYLZFLB-UHFFFAOYSA-N"
"CHEMBL5077596";"";"";"Unknown";"";"442.54";"1";"1";"2.26";"121.60";"5";"3";"0";"6";"N";"0.47";"9.72";"4.01";"0.91";"0.91";"2";"MOL";"-1";"31";"8";"4";"0";"442.1675";"-1.47";"NEUTRAL";"C22H26N4O4S";"C#CC(=O)N(c1ccc(NS(C)(=O)=O)cc1)C(C(=O)NC(C)(C)C)c1cccc(N)c1";"IAMMBHSELYFNDR-UHFFFAOYSA-N"
"CHEMBL4753590";"";"";"Unknown";"";"589.14";"9";"23";"5.94";"121.62";"10";"3";"2";"12";"N";"0.17";"9.67";"7.79";"3.94";"3.49";"4";"MOL";"-1";"39";"10";"3";"2";"588.1380";"-1.65";"NEUTRAL";"C26H29ClN6O4S2";"COc1cc(SCc2ccc(CN(C)C)o2)ccc1Nc1ncc(Cl)c(Nc2ccccc2NS(C)(=O)=O)n1";"IVWSMDDTFYCVFZ-UHFFFAOYSA-N"
"CHEMBL5078139";"";"";"Unknown";"";"476.54";"2";"3";"4.52";"95.57";"9";"1";"0";"6";"N";"0.38";"None";"3.30";"3.44";"3.44";"6";"MOL";"-1";"36";"9";"1";"0";"476.2073";"-1.24";"NEUTRAL";"C27H24N8O";"COc1ccc(C(Nc2cc(-c3ccc4ccn(C)c4c3)c3nccnc3c2)c2cnnn2C)cn1";"MZUHOFZPDUAMNB-UHFFFAOYSA-N"
